Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	concerning	Estimate (h)	Actual (h)
SCRUM master		ethangraham2001	Done in "Sprint #3"							
SCRUM master		276746	Done in Sprint #5							
ISSUE#98 Test LikeScreen		ethangraham2001	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical		3	2
ISSUE#104 merge the search bar with the scrollable list		gunnm0, imaneb942	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Navigation	2	1
ISSUE#96 Show user position on map	https://github.com/WanderWise-Inc/app/issues/119	276746	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Map	3	4
ISSUE#101 Implement Itinerary Banner composable	https://github.com/WanderWise-Inc/app/issues/123	gunnm0	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	3	10
ISSUE#96 Test User position display	https://github.com/WanderWise-Inc/app/issues/120	276746	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Map	3	7
ISSUE#107 Create a chatbox composable	https://github.com/WanderWise-Inc/app/issues/121	276746	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	4	5
ISSUE#99 Profile Screen UI		YofiY	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Profile	4	6
ISSUE#107 Test Chatbox	https://github.com/WanderWise-Inc/app/issues/122	276746	Done in Sprint #5	Sprint 5	🚪 Frontend	📜 User Story	🤖 technical		4	2
ISSUE#98 Implement two button composables that upvote/downvote the itinerary	https://github.com/WanderWise-Inc/app/issues/104	ThomasPFMuller	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	4	4
ISSUE#98 Create tests for liked itineraries backend	https://github.com/WanderWise-Inc/app/issues/109	ThomasPFMuller	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	4	4
ISSUE#98 Create tests for Liked button implementation	https://github.com/WanderWise-Inc/app/issues/116	ThomasPFMuller	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	3	5
ISSUE#98 Add backend to support liked itineraries for each user	https://github.com/WanderWise-Inc/app/issues/110	ThomasPFMuller	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	3	4
ISSUE#95 Compute shortest path between locations	https://github.com/WanderWise-Inc/app/issues/106	ethangraham2001	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	4	8
ISSUE#98 LikeScreen		ethangraham2001	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical		4	6
As a itinerary creator, I would l like to create an itinerary with tags describing the trip, so that people can filter my trips easily			🦑 Product Backlog							
As a user, I would like to have an app page dedicated to creating new Itineraries			🦑 Product Backlog							
As a user I would like to be able to see my finished itinerary after I am done creating it			🦑 Product Backlog							
As a user, I would like to be able to see the ratings that were given to a path, so that I can better judge the quality of itineraries			🦑 Product Backlog							
As a user, I would like to be able to see a map centered on me when I open the app, so that I can locate myself easier			🦑 Product Backlog							
As a user, I would like to change my profile photo, so that I can have a customise my experience			🦑 Product Backlog							
As I user, I would like to be able to search for an intinerary by pinning points that I would like to pass by, so that i have a planned trip going through places I am interested in			🦑 Product Backlog							
As a user, I would like to record my path and remember them for later on, so that I can choose to follow them at a later time			🦑 Product Backlog							
As a user, I would like to modify my profile with a profile picture and personal features, so that people looking for my itineraries have a better understanding of who I am.			🦑 Product Backlog							
As a user, I would like to see itinerarie clearly drawn on the map with details, in order to have a visual representation			🦑 Product Backlog							
As a user, I would like to see markers of the points of interest of my itinerary, so that I know what locations the itinerary visits and see if it coresponds to my likings			🦑 Product Backlog							
As a itinerary creator, I want to see what ratings were given to me on my trip, so that I can get feedback on the quality of my itinerary so that I know what is good and what I have to improve on			🦑 Product Backlog							
SCRUM master		imaneb942	Done in "Sprint #2"							
SCRUM master		YofiY	Done in Sprint #4							
ISSUE#102 Test scrolable list		gunnm0	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical		4	4
ISSUE#102 Implement the scrollable list on the main page		gunnm0	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Navigation	5	1.5
ISSUE #99 Implement an image uploader composable		engjellismaili	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical		6	7
ISSUE #99 Add test for the image uploader		engjellismaili	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical		4	10
update/create WanderWise color theme	https://github.com/WanderWise-Inc/app/issues/108	YofiY	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🧵 miscellaneous		2	10
ISSUE#103 Implement the search bar option		imaneb942	Done in Sprint #5	Sprint 5	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Navigation	6	
ISSUE #109 Implement the filters for our search bar		imaneb942	Done in Sprint #5	Sprint 5	🚪 Frontend	📜 User Story	🤖 technical	Navigation	5	
ISSUE #110 Create tests for our filters		imaneb942	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical	Navigation	4	
ISSUE#108 Create tests for search bar		imaneb942	Done in Sprint #5	Sprint 5	🍑 Backend	🏎️ Sprint Task	🤖 technical	Navigation	4	
SCRUM master		gunnm0	Done in "Sprint #6"							
